                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
 1/09/26  6:10a   16.6   16.7   16.6    95   15.8   0.0    NW   0.00   1.6    NW   16.6   17.0   17.0    ---   845.8  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.012   0.000   23.2    34    6.5   22.4   6.77  .9833     0.00   230    1    100.0   10 
 1/09/26  6:20a   16.6   16.6   16.5    95   15.8   0.0    NW   0.00   3.2    NW   16.6   16.9   16.9    ---   845.8  0.00   0.0     0     0.00      0     0.0  0.00   0.0   0.012   0.000   23.2    35    6.9   22.4   6.97  .9830     0.00   233    1    100.0   10 
 1/09/26  6:30a   16.5   16.5   16.5    96   15.9   0.0    NW   0.00   1.6    NW   16.5   16.9   16.9    ---   846.0  0.00   0.0     3     0.04      5     0.0  0.00   0.0   0.013   0.000   23.2    35    6.9   22.4   6.97  .9832     0.00   229    1    100.0   10 
 1/09/26  6:40a   16.6   16.6   16.5    96   15.9   0.0   NNW   0.00   3.2    NW   16.6   16.9   16.9    ---   845.9  0.00   0.0     8     0.11     11     0.0  0.00   0.0   0.012   0.000   23.2    35    6.9   22.4   6.97  .9831     0.00   230    1    100.0   10 
 1/09/26  6:50a   16.6   16.6   16.6    96   15.9   0.0    NW   0.00   1.6    NW   16.6   16.9   16.9    ---   845.9  0.00   0.0    14     0.20     16     0.0  0.00   0.0   0.012   0.000   23.2    35    6.9   22.4   6.97  .9831     0.00   227    1     99.6   10 
 1/09/26  7:00a   16.6   16.6   16.5    95   15.8   0.0    NW   0.00   1.6    NW   16.6   16.9   16.9    ---   845.9  0.00   0.0    19     0.27     21     0.0  0.00   0.0   0.012   0.000   23.3    35    7.0   22.6   6.97  .9826     0.00   231    1    100.0   10 
 1/09/26  7:10a   16.5   16.6   16.5    96   15.9   0.0    NW   0.00   1.6    NW   16.5   16.9   16.9    ---   846.0  0.00   0.0    26     0.37     28     0.0  0.00   0.0   0.013   0.000   23.3    34    6.6   22.6   6.77  .9831     0.00   232    1    100.0   10 
 1/09/26  7:20a   16.4   16.5   16.4    96   15.8   0.0    NW   0.00   1.6    NW   16.4   16.8   16.8    ---   846.0  0.00   0.0    30     0.43     35     0.0  0.00   0.0   0.013   0.000   23.4    36    7.5   22.8   7.08  .9820     0.00   225    1     98.7   10 
 1/09/26  7:30a   16.4   16.5   16.4    96   15.8   0.0    NW   0.00   1.6    NW   16.4   16.8   16.8    ---   846.0  0.00   0.0    57     0.82     79     1.0  0.07   2.5   0.013   0.000   23.5    37    8.0   22.9   7.26  .9815     0.00   232    1    100.0   10 
 1/09/26  7:40a   16.6   16.7   16.5    96   15.9   0.0    NW   0.00   3.2    NW   16.6   16.9   16.9    ---   846.1  0.00   0.0    96     1.38    102     2.0  0.14   2.5   0.012   0.000   23.6    36    7.7   22.9   7.07  .9814     0.00   228    1    100.0   10 
 1/09/26  7:50a   16.8   16.8   16.7    96   16.1   0.0     W   0.00   6.4     W   16.8   17.2   17.2    ---   846.1  0.00   0.0   104     1.49    107     2.0  0.14   2.3   0.011   0.000   23.9    35    7.5   23.3   6.95  .9804     0.00   229    1    100.0   10 
 1/09/26  8:00a   16.8   16.9   16.8    96   16.2   0.0     W   0.00   4.8     W   16.8   17.3   17.3    ---   846.2  0.00   0.0   115     1.65    123     2.1  0.15   2.4   0.010   0.000   24.4    35    8.0   23.8   6.93  .9786     0.05   234    1    100.0   10 
 1/09/26  8:10a   17.1   17.2   16.9    96   16.4   0.0   NNW   0.00   9.7     N   17.1   17.5   17.5    ---   846.2  0.00   0.0   291     4.17    360     2.2  0.16   2.7   0.009   0.000   24.9    34    7.9   24.3   6.71  .9771     0.00   230    1    100.0   10 
 1/09/26  8:20a   17.3   17.4   17.2    96   16.6   1.6     N   0.27  11.3     N   17.3   17.8   17.8    ---   846.3  0.00   0.0   367     5.26    390     2.5  0.18   2.9   0.007   0.000   25.2    33    7.8   24.6   6.55  .9763     0.00   233    1    100.0   10 
 1/09/26  8:30a   17.8   18.1   17.4    96   17.1   0.0    NW   0.00   6.4    NW   17.8   18.3   18.3    ---   846.3  0.00   0.0   414     5.93    432     2.6  0.19   2.9   0.004   0.000   25.3    33    7.9   24.6   6.55  .9758     0.00   233    1    100.0   10 
 1/09/26  8:40a   18.3   18.6   18.1    94   17.4   1.6    NW   0.27  12.9   NNW   18.3   19.0   19.0    ---   846.2  0.00   0.0   438     6.28    471     2.7  0.19   3.1   0.000   0.000   25.4    33    8.0   24.7   6.55  .9753     0.00   231    1    100.0   10 
 1/09/26  8:50a   18.8   19.1   18.6    93   17.7   1.6   WNW   0.27  11.3   WNW   18.8   19.6   19.6    ---   846.1  0.00   0.0   476     6.82    512     3.0  0.21   3.3   0.000   0.003   25.6    33    8.1   24.8   6.55  .9745     0.00   232    1    100.0   10 
 1/09/26  9:00a   19.3   19.5   19.1    90   17.6   1.6   WNW   0.27   9.7   WNW   19.3   20.1   20.1    ---   846.1  0.00   0.0   505     7.24    534     3.2  0.23   3.7   0.000   0.007   25.7    33    8.2   24.9   6.55  .9740     0.25   231    1    100.0   10 
 1/09/26  9:10a   19.8   20.2   19.6    88   17.8   1.6   WNW   0.27   9.7    NW   19.8   20.7   20.7    ---   845.9  0.00   0.0   567     8.13    584     3.5  0.25   4.1   0.000   0.010   25.8    33    8.3   25.1   6.55  .9734     0.00   234    1    100.0   10 
 1/09/26  9:20a   20.5   20.8   20.2    85   17.9   0.0     W   0.00   4.8    NW   20.5   21.5   21.5    ---   845.9  0.00   0.0   611     8.76    638     3.8  0.27   4.1   0.000   0.015   25.8    33    8.3   25.1   6.55  .9734     0.00   231    1    100.0   10 
 1/09/26  9:30a   21.2   21.5   20.8    82   18.0   1.6   NNW   0.27   8.0    NW   21.2   21.9   21.9    ---   845.9  0.00   0.0   674     9.66    712     4.2  0.30   4.5   0.000   0.020   26.0    33    8.5   25.2   6.55  .9727     0.00   231    1    100.0   10 
 1/09/26  9:40a   21.9   22.2   21.6    80   18.3   0.0   NNW   0.00   3.2   NNW   21.9   22.6   22.6    ---   845.9  0.00   0.0   598     8.57    737     3.8  0.27   4.8   0.000   0.025   26.1    32    8.1   25.2   6.37  .9726     0.00   233    1    100.0   10 
 1/09/26  9:50a   22.3   22.6   22.2    77   18.1   1.6     W   0.27   9.7     W   22.3   23.1   23.1    ---   845.9  0.25   0.0   349     5.00    603     3.8  0.27   4.9   0.000   0.028   26.1    32    8.1   25.2   6.37  .9727     0.00   230    1    100.0   10 
